City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Makat,47.6469,53.3463,26.5,39,86,9.27,KZ,1622047312
Tommot,58.9564,126.2925,5.94,76,74,1.59,RU,1622047313
Broken Hill,-31.95,141.4333,5.84,70,0,1.54,AU,1622047313
Kieta,-6.2167,155.6333,25.73,87,93,1.59,PG,1622047297
Portland,45.5234,-122.6762,14.62,70,75,0.89,US,1622047113
Nioro,13.35,-15.75,40.09,13,96,2.35,GM,1622047314
Towada,40.6127,141.2067,10.12,84,96,2.99,JP,1622047314
Victor Harbor,-35.5667,138.6167,11.27,87,38,4.4,AU,1622047314
Canyon,34.9803,-101.9188,26.29,38,28,7.48,US,1622047315
Coquimbo,-29.9533,-71.3436,14.85,82,0,2.0,CL,1622047315
Saint Paul Harbor,57.79,-152.4072,10.73,54,1,7.72,US,1622047315
Haines Junction,60.7522,-137.5108,7.97,76,100,1.54,CA,1622047171
Bodden Town,19.2833,-81.25,28.94,60,40,1.79,KY,1622047316
Westport,41.1415,-73.3579,26.16,78,20,1.79,US,1622047316
Hermiston,45.8404,-119.2895,16.66,48,1,5.66,US,1622047104
Bartica,6.4,-58.6167,27.18,90,100,1.11,GY,1622047317
Lādnūn,27.65,74.3833,36.56,19,7,2.18,IN,1622047317
Esik,43.3552,77.4525,23.68,46,100,3.62,KZ,1622047317
Mazagão,-0.115,-51.2894,29.03,57,11,2.34,BR,1622047318
Rundu,-17.9333,19.7667,18.13,35,0,2.33,NA,1622047318
Brae,60.3964,-1.353,9.95,83,100,9.11,GB,1622047318
Tocopilla,-22.092,-70.1979,22.47,59,100,3.78,CL,1622047319
Salalah,17.0151,54.0924,29.05,74,20,3.6,OM,1622047319
Boende,-0.2167,20.8667,27.15,65,97,1.27,CD,1622047319
Kidal,18.4411,1.4078,41.07,3,100,7.6,ML,1622047319
Tamworth,52.634,-1.6959,13.15,71,93,2.24,GB,1622047069
Clyde River,70.4692,-68.5914,-0.87,86,40,7.72,CA,1622047223
Cherskiy,68.75,161.3,10.74,47,27,1.5,RU,1622047320
Deniliquin,-35.5333,144.9667,7.22,75,6,2.91,AU,1622047320
Lagoa,39.05,-27.9833,15.08,66,89,8.38,PT,1622047321
Hasaki,35.7333,140.8333,17.82,79,100,3.96,JP,1622047152
Redlands,34.0556,-117.1825,23.88,36,75,0.45,US,1622047317
Sangar,63.9242,127.4739,10.42,70,100,2.39,RU,1622047321
Nabire,-3.3667,135.4833,24.08,90,100,0.66,ID,1622047253
Leh,34.1667,77.5833,8.17,32,19,1.99,IN,1622047287
Chumikan,54.7183,135.315,1.11,78,99,2.67,RU,1622047322
Athabasca,54.7169,-113.2854,11.11,60,99,6.92,CA,1622047322
Wote,-1.7808,37.6288,19.3,75,74,1.52,KE,1622047323
Geraldton,-28.7667,114.6,14.23,47,100,6.95,AU,1622047323
Lorengau,-2.0226,147.2712,26.77,85,100,1.89,PG,1622047323
Aquiraz,-3.9014,-38.3911,32.05,62,22,5.37,BR,1622047324
Comodoro Rivadavia,-45.8667,-67.5,8.92,71,40,4.12,AR,1622047107
Pargas,60.3067,22.301,7.87,93,100,5.83,FI,1622047324
Pembroke,45.8168,-77.1162,21.48,72,100,4.86,CA,1622047324
San Jerónimo,-11.9472,-75.2829,14.49,48,70,1.18,PE,1622047325
Faqirwali,29.4663,73.034,37.39,13,3,1.26,PK,1622047325
Santa Cruz de la Sierra,-17.8,-63.1667,25.03,61,75,2.57,BO,1622047221
Pokhara,28.2333,83.9833,22.89,81,100,1.89,NP,1622047058
Ojinaga,29.5667,-104.4167,30.53,42,1,3.09,MX,1622047326
Halmstad,56.6745,12.8568,11.89,66,75,4.63,SE,1622047326
Khartoum,15.5518,32.5324,39.04,7,5,4.43,SD,1622047326
Osakarovka,50.565,72.5692,22.82,40,21,8.28,KZ,1622047327
Codrington,-38.2667,141.9667,11.56,84,37,6.26,AU,1622047327
